image_path,label
18258.jpg,unknown
60338.jpg,unknown
82897.jpg,unknown
69069.jpg,unknown
45552.jpg,unknown
26038.jpg,unknown
88164.jpg,unknown
67191.jpg,unknown
65586.jpg,unknown
38246.jpg,unknown
60276.jpg,unknown
53384.jpg,unknown
81028.jpg,unknown
4237.jpg,unknown
72618.jpg,unknown
49862.jpg,unknown
49870.jpg,unknown
62626.jpg,unknown
18730.jpg,unknown
86387.jpg,unknown
54998.jpg,unknown
17508.jpg,unknown
20682.jpg,unknown
46555.jpg,unknown
56698.jpg,unknown
61931.jpg,unknown
65488.jpg,unknown
89908.jpg,unknown
86365.jpg,unknown
55353.jpg,unknown
51036.jpg,unknown
65588.jpg,unknown
93538.jpg,unknown
20691.jpg,unknown
56679.jpg,unknown
43290.jpg,unknown
86373.jpg,unknown
86486.jpg,unknown
6184.jpg,unknown
34133.jpg,unknown
47484.jpg,unknown
72576.jpg,unknown
46549.jpg,unknown
82898.jpg,unknown
24924.jpg,unknown
62009.jpg,unknown
48515.jpg,unknown
47045.jpg,unknown
21270.jpg,unknown
60281.jpg,unknown
47843.jpg,unknown
47335.jpg,unknown
56863.jpg,unknown
9723.jpg,unknown
17257.jpg,unknown
65487.jpg,unknown
56696.jpg,unknown
46355.jpg,unknown
36383.jpg,unknown
60277.jpg,unknown
94721.jpg,unknown
94711.jpg,unknown
60275.jpg,unknown
38244.jpg,unknown
42502.jpg,unknown
43430.jpg,unknown
34102.jpg,unknown
46996.jpg,unknown
65490.jpg,unknown
47301.jpg,unknown
50965.jpg,fra-eng
29117.jpg,bra-par
65219.jpg,tot-che
91324.jpg,cro-por
27121.jpg,arg-par
11846.jpg,chi-per
4785.jpg,hun-bel
43633.jpg,zam-cod
37877.jpg,ita-roi
88561.jpg,irq-uae
73481.jpg,cry-mnu
87630.jpg,irq-uae
28979.jpg,bra-par
31591.jpg,cod-eqg
52137.jpg,fra-eng
8427.jpg,arg-par
90607.jpg,cro-por
23014.jpg,eng-isl
6364.jpg,arg-col
57874.jpg,aus-ger
89105.jpg,irq-uae
55185.jpg,eng-wal
81718.jpg,kor-irq
95008.jpg,isl-aut
9418.jpg,arg-par
98005.jpg,isl-aut
84355.jpg,eng-isl
6963.jpg,arg-col
64721.jpg,tot-che
99533.jpg,rou-alb
14858.jpg,rou-alb
25944.jpg,arg-col
84257.jpg,eng-isl
68077.jpg,svk-eng
94338.jpg,cro-por
79960.jpg,kor-irq
62963.jpg,tot-che
97994.jpg,isl-aut
65132.jpg,tot-che
44810.jpg,zam-cod
38784.jpg,civ-gha
87783.jpg,irq-uae
38693.jpg,civ-gha
19928.jpg,bra-ger
5878.jpg,hun-bel
33634.jpg,eqg-cgo
63430.jpg,tot-che
75088.jpg,cry-mnu
30896.jpg,chi-per
54518.jpg,eng-wal
41016.jpg,ger-fra
14544.jpg,rou-alb
79922.jpg,kor-irq
87276.jpg,irq-uae
64385.jpg,tot-che
38741.jpg,civ-gha
73380.jpg,cry-mnu
44894.jpg,zam-cod
62472.jpg,tot-che
67718.jpg,svk-eng
17833.jpg,bra-ger
59530.jpg,aus-ger
57211.jpg,aus-ger
78606.jpg,irn-irq
87942.jpg,irq-uae
3880.jpg,hun-bel
95361.jpg,isl-aut
40348.jpg,eng-ice
25889.jpg,arg-col
99018.jpg,rou-alb
77958.jpg,irn-irq
