Image Number,Gate,Start/Restar the game,The joy of the players,yellow card,Red Card,Ball,Stadium View,referee Image,Penalty Image,Free Kick,Generic Moment
1,0,0,0,0,0,0,1,0,0,0,0
2,0,0,0,0,0,0,1,1,0,0,0
94,0,0,0,1,0,1,0,1,0,0,0
95,0,0,0,1,0,1,0,1,0,0,0
96,0,0,0,1,0,1,0,1,0,0,0
97,0,0,0,1,0,1,0,1,0,0,0
98,0,0,0,1,0,1,0,1,0,0,0
99,0,0,0,1,0,1,0,1,0,0,0
100,0,0,0,1,0,0,0,1,0,0,0
102,0,0,0,1,0,0,0,0,0,0,0
210,0,1,0,0,0,0,0,1,0,0,0
211,0,1,0,0,0,0,0,1,0,0,0
212,0,1,0,0,0,0,0,1,0,0,0
213,0,1,0,0,0,0,0,1,0,0,0
214,0,1,0,0,0,1,0,1,0,0,0
216,0,1,0,0,0,1,0,1,0,0,0
350,1,0,0,0,0,1,0,0,0,1,0
354,1,0,0,0,0,1,0,1,0,1,0
355,1,0,0,0,0,1,0,1,0,1,0
356,1,0,0,0,0,1,0,1,0,1,0
357,0,0,0,0,0,1,0,0,0,1,0
358,0,0,0,0,0,1,0,0,0,1,0
359,0,0,0,0,0,1,0,0,0,1,0
361,0,0,0,0,0,1,0,0,0,1,0
366,1,0,0,0,0,0,0,1,0,1,0
370,1,0,0,0,0,1,0,1,0,1,0
372,1,0,0,0,0,1,0,1,0,1,0
374,1,0,0,0,0,1,0,1,0,1,0
375,1,0,0,0,0,1,0,1,0,1,0
376,1,0,0,0,0,1,0,1,0,1,0
606,1,0,0,0,0,0,0,1,0,1,0
607,1,0,0,0,0,0,0,1,0,1,0
623,1,0,0,0,0,1,0,1,0,1,0
624,1,0,0,0,0,1,0,1,0,1,0
625,1,0,0,0,0,1,0,1,0,1,0
636,0,0,0,1,0,0,0,1,0,0,0
642,0,0,0,1,0,0,0,0,0,0,0
649,1,0,0,0,0,1,0,1,0,1,0
672,0,0,0,0,0,1,0,1,0,1,0
673,1,0,0,0,0,1,0,1,0,1,0
674,1,0,0,0,0,1,0,1,0,1,0
675,1,0,0,0,0,1,0,1,0,1,0
942,0,0,0,1,0,0,0,1,0,0,0
943,0,0,0,1,0,0,0,1,0,0,0
944,0,0,0,1,0,0,0,1,0,0,0
947,0,0,0,1,0,0,0,0,0,0,0
1109,1,0,0,0,0,1,1,0,0,0,0
1110,1,0,0,0,0,1,1,0,0,0,0
1111,1,0,0,0,0,1,1,0,0,0,0
1112,1,0,0,0,0,1,1,0,0,0,0
1113,1,0,0,0,0,1,1,0,0,0,0
1117,1,0,0,0,0,1,1,0,0,0,0
1118,1,0,0,0,0,0,1,0,0,0,0
1238,1,0,0,0,0,0,0,1,0,1,0
1249,1,0,0,0,0,1,0,1,0,1,0
1260,1,0,0,0,0,1,0,1,0,1,0
1271,1,0,0,0,0,1,0,0,0,1,0
1823,0,0,0,1,0,0,0,1,0,0,0
1824,0,0,0,1,0,0,0,1,0,0,0
1827,0,0,0,1,0,0,0,0,0,0,0
1834,1,0,0,0,0,1,0,1,0,1,0
1846,1,0,0,0,0,1,0,1,0,1,0
1906,1,0,0,0,0,0,1,0,0,0,0
1923,0,1,0,0,0,0,0,1,0,0,0
1927,0,1,0,0,0,0,0,0,0,0,0
1928,0,1,0,0,0,0,0,0,0,0,0
1929,0,1,0,0,0,0,0,0,0,0,0
1930,0,1,0,0,0,0,0,0,0,0,0
1934,0,1,0,0,0,0,0,0,0,0,0
1979,0,0,1,0,0,0,0,0,0,0,0
1980,0,0,1,0,0,0,0,0,0,0,0
1982,1,0,1,0,0,0,0,0,0,0,0
2101,1,0,0,0,0,1,0,0,0,1,0
2102,1,0,0,0,0,1,0,0,0,1,0
2104,1,0,0,0,0,1,0,0,0,1,0
2105,1,0,0,0,0,1,0,0,0,1,0
2106,1,0,0,0,0,1,0,0,0,1,0
2108,1,0,0,0,0,1,0,0,0,1,0
2153,1,0,1,0,0,0,0,0,0,0,0
2415,0,0,0,0,0,1,0,1,0,1,0
2439,1,0,0,0,0,1,0,0,0,1,0
2440,1,0,0,0,0,1,0,0,0,1,0
2500,1,0,0,0,0,1,0,0,0,1,0
2501,1,0,0,0,0,1,0,0,0,1,0
2502,1,0,0,0,0,1,0,0,0,1,0
2508,1,0,0,0,0,1,0,0,0,1,0
2516,0,0,0,0,0,1,0,0,0,1,0
2943,0,0,0,1,0,0,0,0,0,0,0
2944,0,0,0,1,0,0,0,0,0,0,0
2952,0,0,0,1,0,0,0,1,0,0,0
3138,0,1,0,0,0,1,0,0,0,0,0
3139,0,1,0,0,0,1,0,0,0,0,0
3343,1,0,0,0,0,1,0,1,0,1,0
3344,1,0,0,0,0,1,0,1,0,1,0
3345,1,0,0,0,0,0,0,1,0,1,0
3346,1,0,0,0,0,1,0,1,0,1,0
3347,1,0,0,0,0,0,0,1,0,1,0
3358,1,0,0,0,0,1,0,0,0,1,0
3363,1,0,0,0,0,0,0,0,0,1,0
3472,0,1,0,0,0,0,0,0,0,0,0
3793,0,0,0,0,0,0,1,0,0,0,0
3852,0,0,0,1,0,0,0,1,0,0,0
3869,0,0,0,1,0,0,0,0,0,0,0
3877,1,0,0,0,0,1,0,1,0,1,0
3878,1,0,0,0,0,1,0,1,0,1,0
3880,1,0,0,0,0,1,0,1,0,1,0
3881,1,0,0,0,0,1,0,1,0,1,0
3890,1,0,0,0,0,1,0,0,0,1,0
3891,1,0,0,0,0,1,0,0,0,1,0
3904,0,0,0,0,0,0,1,0,0,0,0
4015,0,0,0,0,0,0,1,0,0,0,0
4126,0,0,0,0,0,0,1,0,0,0,0
4237,0,0,0,0,0,0,1,0,0,0,0
4268,0,1,0,0,0,1,0,0,0,0,0
4269,0,1,0,0,0,1,0,0,0,0,0
4270,0,1,0,0,0,1,0,0,0,0,0
4271,0,1,0,0,0,1,0,0,0,0,0
4273,0,1,0,0,0,1,0,0,0,0,0
4274,0,1,0,0,0,1,0,0,0,0,0
4275,0,1,0,0,0,0,0,0,0,0,0
4276,0,1,0,0,0,0,0,0,0,0,0
4277,0,1,0,0,0,1,0,0,0,0,0
4334,0,0,0,1,0,0,0,0,0,0,0
4340,0,0,0,1,0,0,0,0,0,0,0
4341,0,0,0,1,0,0,0,0,0,0,0
4509,1,0,0,0,0,1,0,0,0,1,0
4785,0,0,0,1,0,0,0,1,0,0,0
4795,0,0,0,1,0,0,0,0,0,0,0
4796,0,0,0,1,0,0,0,0,0,0,0
4904,1,0,0,0,0,0,1,0,0,0,0
4931,1,0,0,0,0,1,1,0,0,0,0
4973,1,0,0,0,0,1,0,0,0,1,0
4974,1,0,0,0,0,1,0,0,0,1,0
5008,0,0,0,1,0,0,0,1,0,0,0
5015,1,0,0,0,0,0,1,0,0,0,0
5018,0,0,0,1,0,0,0,0,0,0,0
5020,1,0,0,0,0,0,0,1,0,1,0
5021,1,0,0,0,0,0,0,1,0,1,0
5028,1,0,0,0,0,1,0,1,0,1,0
5029,1,0,0,0,0,1,0,1,0,1,0
5030,1,0,0,0,0,1,0,0,0,1,0
5031,1,0,0,0,0,1,0,1,0,1,0
5037,1,0,0,0,0,1,0,1,0,1,0
5039,1,0,0,0,0,1,0,1,0,1,0
5126,1,0,0,0,0,0,1,0,0,0,0
5186,1,0,0,0,0,0,1,0,0,0,0
5187,1,0,0,0,0,1,1,0,0,0,0
5188,1,0,0,0,0,0,1,0,0,0,0
5189,1,0,0,0,0,1,1,0,0,0,0
5192,1,0,0,0,0,1,1,0,0,0,0
5237,1,0,0,0,0,0,1,0,0,0,0
5348,0,0,0,0,0,0,1,0,0,0,0
5349,1,0,0,0,0,0,1,0,0,0,0
5351,1,0,0,0,0,1,0,0,0,1,0
5358,1,0,1,0,0,1,0,0,0,0,0
5359,1,0,1,0,0,0,0,0,0,0,0
5360,0,0,1,0,0,0,0,0,0,0,0
5373,1,0,0,0,0,1,0,1,0,1,0
5374,1,0,0,0,0,0,0,1,0,1,0
5388,0,0,1,0,0,0,0,0,0,0,0
5389,0,0,1,0,0,0,0,0,0,0,0
5390,0,0,1,0,0,0,0,0,0,0,0
5391,0,0,1,0,0,0,0,0,0,0,0
5392,0,0,1,0,0,0,0,0,0,0,0
5393,0,0,1,0,0,0,0,0,0,0,0
5395,0,0,1,0,0,0,0,0,0,0,0
5409,1,0,1,0,0,0,0,0,0,0,0
5410,0,0,1,0,0,0,0,0,0,0,0
5411,0,0,1,0,0,0,0,0,0,0,0
5412,1,0,1,0,0,0,0,0,0,0,0
5413,0,0,1,0,0,0,0,0,0,0,0
5414,0,0,1,0,0,0,0,0,0,0,0
5415,0,0,1,0,0,0,0,0,0,0,0
5417,0,0,1,0,0,0,0,0,0,0,0
5429,1,0,0,0,0,1,1,0,0,0,0
5430,1,0,0,0,0,1,1,0,0,0,0
5515,1,0,0,0,0,0,1,0,0,0,0
5517,1,0,0,0,0,0,1,0,0,0,0
5518,1,0,0,0,0,0,1,0,0,0,0
5521,1,0,0,0,0,0,0,1,0,1,0
5654,0,0,0,0,0,1,0,1,0,1,0
5655,0,0,0,0,0,1,0,1,0,1,0
5656,1,0,0,0,0,1,0,1,0,1,0
5657,1,0,0,0,0,1,0,1,0,1,0
5658,1,0,0,0,0,0,0,1,0,1,0
5659,1,0,0,0,0,0,0,1,0,1,0
5666,1,0,0,0,0,1,0,1,0,1,0
5667,1,0,0,0,0,1,0,1,0,1,0
5668,1,0,0,0,0,1,0,1,0,1,0
5669,1,0,0,0,0,1,0,1,0,1,0
5670,1,0,0,0,0,1,0,1,0,1,0
5673,1,0,0,0,0,1,0,1,0,1,0
5737,0,0,0,1,0,0,0,1,0,0,0
5739,0,0,0,1,0,0,0,1,0,0,0
5746,0,0,0,1,0,0,0,0,0,0,0
5780,0,0,1,0,0,0,0,0,0,0,0
5784,0,0,1,0,0,0,0,0,0,0,0
5787,0,0,1,0,0,0,0,0,0,0,0
5788,0,0,1,0,0,0,0,0,0,0,0
5807,0,0,1,0,0,0,0,0,0,0,0
5821,0,0,0,1,0,0,0,1,0,0,0
5822,0,0,0,1,0,1,0,1,0,0,0
5840,0,0,0,1,0,0,0,0,0,0,0
5841,0,0,0,1,0,0,0,0,0,0,0
5852,0,0,0,1,0,0,0,0,0,0,0
5854,0,0,0,0,0,0,1,0,0,0,0
5934,0,0,0,0,0,0,1,0,0,0,0
5935,0,0,0,0,0,0,1,0,0,0,0
5936,0,0,0,0,0,0,1,0,0,0,0
5937,0,0,0,0,0,0,1,0,0,0,0
5939,1,0,0,0,0,0,1,0,0,0,0
5991,1,0,0,0,0,0,1,0,0,0,0
5996,1,0,0,0,0,0,1,0,0,0,0
5997,1,0,0,0,0,0,1,0,0,0,0
5998,1,0,0,0,0,0,1,0,0,0,0
5999,1,0,0,0,0,0,1,0,0,0,0
6000,1,0,0,0,0,0,1,0,0,0,0
6001,1,0,0,0,0,0,1,0,0,0,0
6002,1,0,0,0,0,0,1,0,0,0,0
6003,1,0,0,0,0,0,1,0,0,0,0
6049,0,0,0,1,0,0,0,0,0,0,0
6056,1,0,0,0,0,0,1,0,0,0,0
6057,1,0,0,0,0,0,1,0,0,0,0
6058,1,0,0,0,0,0,1,0,0,0,0
6059,1,0,0,0,0,0,1,0,0,0,0
6061,1,0,0,0,0,0,1,0,0,0,0
6097,1,0,0,0,0,0,1,0,0,0,0
6098,0,0,0,0,0,0,1,0,0,0,0
6099,0,0,0,0,0,0,1,0,0,0,0
6100,0,0,0,0,0,0,1,0,0,0,0
6111,1,0,0,0,0,0,1,0,0,0,0
6112,1,0,0,0,0,0,1,0,0,0,0
6122,1,0,0,0,0,0,1,0,0,0,0
6123,1,0,0,0,0,0,1,0,0,0,0
6133,0,0,0,0,0,0,1,0,0,0,0
6134,0,0,0,0,0,0,1,0,0,0,0
6153,1,0,0,0,0,0,1,0,0,0,0
6154,1,0,0,0,0,0,1,0,0,0,0
6155,1,0,0,0,0,0,1,0,0,0,0
6156,1,0,0,0,0,0,1,0,0,0,0
6162,1,0,0,0,0,0,1,0,0,0,0
6163,1,0,0,0,0,0,1,0,0,0,0
6184,0,1,0,0,0,0,0,0,0,0,0
6185,1,1,0,0,0,0,0,0,0,0,0
6186,1,1,0,0,0,0,0,0,0,0,0
6187,1,1,0,0,0,0,0,0,0,0,0
6188,1,1,0,0,0,0,0,0,0,0,0
6189,1,1,0,0,0,0,0,0,0,0,0
6190,1,1,0,0,0,0,0,0,0,0,0
6191,1,1,0,0,0,0,0,0,0,0,0
6213,0,1,0,0,0,0,0,1,0,0,0
6214,0,1,0,0,0,0,0,1,0,0,0
6216,0,1,0,0,0,0,0,0,0,0,0
6221,0,1,0,0,0,0,0,0,0,0,0
6222,0,1,0,0,0,0,0,0,0,0,0
6223,0,1,0,0,0,0,0,0,0,0,0
6224,0,1,0,0,0,0,0,0,0,0,0
6225,0,1,0,0,0,0,0,0,0,0,0
6227,0,1,0,0,0,0,0,0,0,0,0
6228,0,1,0,0,0,0,0,0,0,0,0
6229,0,1,0,0,0,0,0,0,0,0,0
6230,0,1,0,0,0,0,0,0,0,0,0
6363,1,0,0,0,0,0,1,0,0,0,0
6364,1,0,0,0,0,0,1,0,0,0,0
6365,1,0,0,0,0,1,1,0,0,0,0
6431,0,0,0,0,0,1,0,0,0,1,0
6432,0,0,0,0,0,1,0,0,0,1,0
6433,1,0,0,0,0,1,0,0,0,1,0
6435,1,0,0,0,0,1,0,0,0,1,0
6613,0,0,0,1,0,0,0,0,0,0,0
6637,0,0,0,1,0,1,0,0,0,0,0
6868,1,0,0,0,0,0,0,0,0,1,0
6877,0,0,0,1,0,0,0,0,0,0,0
6904,1,0,0,0,0,0,1,0,0,0,0
6908,0,0,0,0,0,0,1,0,0,0,0
6946,1,0,0,0,0,1,0,0,0,1,0
6947,1,0,0,0,0,1,0,0,0,1,0
6948,1,0,0,0,0,0,0,1,0,1,0
6950,1,0,0,0,0,1,0,1,0,1,0
6954,1,0,0,0,0,1,0,1,0,1,0
6955,1,0,0,0,0,1,0,1,0,1,0
6958,1,0,0,0,0,1,0,1,0,1,0
6959,1,0,0,0,0,1,0,1,0,1,0
6961,1,0,0,0,0,1,0,1,0,1,0
