image_path,label
11413.jpg,unknown
50965.jpg,fra-eng
29117.jpg,bra-par
65219.jpg,tot-che
91324.jpg,cro-por
47841.jpg,unknown
16966.jpg,unknown
27121.jpg,arg-par
94721.jpg,unknown
11846.jpg,chi-per
4785.jpg,hun-bel
28199.jpg,unknown
54998.jpg,unknown
43633.jpg,zam-cod
37877.jpg,ita-roi
53247.jpg,unknown
88561.jpg,irq-uae
17257.jpg,unknown
73481.jpg,cry-mnu
86408.jpg,unknown
87630.jpg,irq-uae
18258.jpg,unknown
28979.jpg,bra-par
72550.jpg,unknown
46734.jpg,unknown
21263.jpg,unknown
86484.jpg,unknown
31591.jpg,cod-eqg
52137.jpg,fra-eng
8427.jpg,arg-par
72745.jpg,unknown
20940.jpg,unknown
90607.jpg,cro-por
47335.jpg,unknown
23014.jpg,eng-isl
6364.jpg,arg-col
57874.jpg,aus-ger
89105.jpg,irq-uae
55185.jpg,eng-wal
81718.jpg,kor-irq
95008.jpg,isl-aut
9418.jpg,arg-par
98005.jpg,isl-aut
65490.jpg,unknown
39269.jpg,unknown
84355.jpg,eng-isl
6963.jpg,arg-col
64721.jpg,tot-che
99533.jpg,rou-alb
25694.jpg,unknown
14858.jpg,rou-alb
25944.jpg,arg-col
84257.jpg,eng-isl
24632.jpg,unknown
68077.jpg,svk-eng
94338.jpg,cro-por
79960.jpg,kor-irq
56905.jpg,unknown
2102.jpg,unknown
46736.jpg,unknown
62963.jpg,tot-che
97994.jpg,isl-aut
47301.jpg,unknown
65132.jpg,tot-che
44810.jpg,zam-cod
56698.jpg,unknown
38784.jpg,civ-gha
47839.jpg,unknown
87783.jpg,irq-uae
38693.jpg,civ-gha
19928.jpg,bra-ger
5878.jpg,hun-bel
33634.jpg,eqg-cgo
63430.jpg,tot-che
47863.jpg,unknown
90036.jpg,unknown
75088.jpg,cry-mnu
30896.jpg,chi-per
55029.jpg,unknown
54518.jpg,eng-wal
47367.jpg,unknown
41016.jpg,ger-fra
14544.jpg,rou-alb
21821.jpg,unknown
79922.jpg,kor-irq
87276.jpg,irq-uae
47688.jpg,unknown
6184.jpg,unknown
64385.jpg,tot-che
38741.jpg,civ-gha
73380.jpg,cry-mnu
15232.jpg,unknown
2.jpg,unknown
44894.jpg,zam-cod
62472.jpg,tot-che
86474.jpg,unknown
2101.jpg,unknown
67718.jpg,svk-eng
17833.jpg,bra-ger
45366.jpg,unknown
59530.jpg,aus-ger
57211.jpg,aus-ger
62020.jpg,unknown
78606.jpg,irn-irq
87942.jpg,irq-uae
3880.jpg,hun-bel
95361.jpg,isl-aut
18619.jpg,unknown
40348.jpg,eng-ice
98079.jpg,unknown
25889.jpg,arg-col
17508.jpg,unknown
99018.jpg,rou-alb
77958.jpg,irn-irq
18953.jpg,unknown
96755.jpg,isl-aut
37896.jpg,ita-roi
77868.jpg,irn-irq
80664.jpg,kor-irq
82858.jpg,unknown
95779.jpg,isl-aut
14530.jpg,rou-alb
14969.jpg,rou-alb
13624.jpg,rou-alb
36957.jpg,ita-roi
23149.jpg,eng-ice
66724.jpg,svk-eng
62009.jpg,unknown
15639.jpg,wal-nir
83648.jpg,ger-svk
69069.jpg,unknown
97148.jpg,unknown
21055.jpg,unknown
61659.jpg,unknown
15286.jpg,eng-ice
18842.jpg,unknown
657.jpg,wal-nir
21054.jpg,unknown
61843.jpg,swa-mun
77862.jpg,irn-irq
61735.jpg,swa-mun
52071.jpg,ger-fra
98777.jpg,rou-alb
35314.jpg,unknown
36225.jpg,ger-fra
69071.jpg,unknown
15645.jpg,wal-nir
13860.jpg,rou-alb
58989.jpg,aus-ger
98966.jpg,rou-alb
80665.jpg,kor-irq
17931.jpg,unknown
4237.jpg,unknown
